"";"species";"island";"bill_length_mm";"bill_depth_mm";"flipper_length_mm";"body_mass_g";"sex";"year";"body_mass_index"
"1";"Adelie";"Torgersen";39,1;18,7;181;3750;"male";2007;0,114465370409939
"2";"Adelie";"Torgersen";39,5;17,4;186;3800;"female";2007;0,109839287778934
"3";"Adelie";"Torgersen";40,3;18;195;3250;"female";2007;0,0854700854700855
"4";"Adelie";"Torgersen";NA;NA;NA;NA;NA;2007;NA
"5";"Adelie";"Torgersen";36,7;19,3;193;3450;"female";2007;0,0926199361056673
"6";"Adelie";"Torgersen";39,3;20,6;190;3650;"male";2007;0,101108033240997
"7";"Adelie";"Torgersen";38,9;17,8;181;3625;"female";2007;0,110649858062941
"8";"Adelie";"Torgersen";39,2;19,6;195;4675;"male";2007;0,122945430637738
"9";"Adelie";"Torgersen";34,1;18,1;193;3475;NA;2007;0,0932910950629547
"10";"Adelie";"Torgersen";42;20,2;190;4250;NA;2007;0,117728531855956
"11";"Adelie";"Torgersen";37,8;17,1;186;3300;NA;2007;0,0953867499132848
"12";"Adelie";"Torgersen";37,8;17,3;180;3700;NA;2007;0,114197530864198
"13";"Adelie";"Torgersen";41,1;17,6;182;3200;"female";2007;0,0966066900132834
"14";"Adelie";"Torgersen";38,6;21,2;191;3800;"male";2007;0,104163811299032
"15";"Adelie";"Torgersen";34,6;21,1;198;4400;"male";2007;0,112233445566779
"16";"Adelie";"Torgersen";36,6;17,8;185;3700;"female";2007;0,108108108108108
"17";"Adelie";"Torgersen";38,7;19;195;3450;"female";2007;0,0907297830374754
"18";"Adelie";"Torgersen";42,5;20,7;197;4500;"male";2007;0,115952485248267
"19";"Adelie";"Torgersen";34,4;18,4;184;3325;"female";2007;0,0982100661625709
"20";"Adelie";"Torgersen";46;21,5;194;4200;"male";2007;0,111595281113827
"21";"Adelie";"Biscoe";37,8;18,3;174;3400;"female";2007;0,112300171753204
"22";"Adelie";"Biscoe";37,7;18,7;180;3600;"male";2007;0,111111111111111
"23";"Adelie";"Biscoe";35,9;19,2;189;3800;"female";2007;0,106380000559895
"24";"Adelie";"Biscoe";38,2;18,1;185;3950;"male";2007;0,115412710007305
"25";"Adelie";"Biscoe";38,8;17,2;180;3800;"male";2007;0,117283950617284
"26";"Adelie";"Biscoe";35,3;18,9;187;3800;"female";2007;0,108667677085419
"27";"Adelie";"Biscoe";40,6;18,6;183;3550;"male";2007;0,106004956851503
"28";"Adelie";"Biscoe";40,5;17,9;187;3200;"female";2007;0,0915096228087735
